bird_y,top_pipe_y,bottom_pipe_y,pipe_x,distance_to_pipe,gap_center,gap_size,action
300.4,225.0,375.0,395.0,345.0,300.0,150.0,0
301.2,225.0,375.0,390.0,340.0,300.0,150.0,0
302.4,225.0,375.0,385.0,335.0,300.0,150.0,0
304.0,225.0,375.0,380.0,330.0,300.0,150.0,0
306.0,225.0,375.0,375.0,325.0,300.0,150.0,0
308.4,225.0,375.0,370.0,320.0,300.0,150.0,0
311.2,225.0,375.0,365.0,315.0,300.0,150.0,0
314.4,225.0,375.0,360.0,310.0,300.0,150.0,0
318.0,225.0,375.0,355.0,305.0,300.0,150.0,0
322.0,225.0,375.0,350.0,300.0,300.0,150.0,0
326.4,225.0,375.0,345.0,295.0,300.0,150.0,0
331.2,225.0,375.0,340.0,290.0,300.0,150.0,0
336.4,225.0,375.0,335.0,285.0,300.0,150.0,0
342.0,225.0,375.0,330.0,280.0,300.0,150.0,0
348.0,225.0,375.0,325.0,275.0,300.0,150.0,0
354.4,225.0,375.0,320.0,270.0,300.0,150.0,0
361.2,225.0,375.0,315.0,265.0,300.0,150.0,0
368.4,225.0,375.0,310.0,260.0,300.0,150.0,0
376.0,225.0,375.0,305.0,255.0,300.0,150.0,0
384.0,225.0,375.0,300.0,250.0,300.0,150.0,0
392.4,225.0,375.0,295.0,245.0,300.0,150.0,0
401.2,225.0,375.0,290.0,240.0,300.0,150.0,0
410.4,225.0,375.0,285.0,235.0,300.0,150.0,0
403.79999999999995,225.0,375.0,280.0,230.0,300.0,150.0,1
397.59999999999997,225.0,375.0,275.0,225.0,300.0,150.0,0
391.79999999999995,225.0,375.0,270.0,220.0,300.0,150.0,0
386.4,225.0,375.0,265.0,215.0,300.0,150.0,0
381.4,225.0,375.0,260.0,210.0,300.0,150.0,0
376.79999999999995,225.0,375.0,255.0,205.0,300.0,150.0,0
372.59999999999997,225.0,375.0,250.0,200.0,300.0,150.0,0
368.79999999999995,225.0,375.0,245.0,195.0,300.0,150.0,0
365.4,225.0,375.0,240.0,190.0,300.0,150.0,0
362.4,225.0,375.0,235.0,185.0,300.0,150.0,0
359.79999999999995,225.0,375.0,230.0,180.0,300.0,150.0,0
357.59999999999997,225.0,375.0,225.0,175.0,300.0,150.0,0
355.79999999999995,225.0,375.0,220.0,170.0,300.0,150.0,0
354.4,225.0,375.0,215.0,165.0,300.0,150.0,0
353.4,225.0,375.0,210.0,160.0,300.0,150.0,0
352.79999999999995,225.0,375.0,205.0,155.0,300.0,150.0,0
352.59999999999997,225.0,375.0,200.0,150.0,300.0,150.0,0
345.99999999999994,225.0,375.0,195.0,145.0,300.0,150.0,1
339.79999999999995,225.0,375.0,190.0,140.0,300.0,150.0,0
333.99999999999994,225.0,375.0,185.0,135.0,300.0,150.0,0
328.59999999999997,225.0,375.0,180.0,130.0,300.0,150.0,0
323.59999999999997,225.0,375.0,175.0,125.0,300.0,150.0,0
318.99999999999994,225.0,375.0,170.0,120.0,300.0,150.0,0
314.79999999999995,225.0,375.0,165.0,115.0,300.0,150.0,0
310.99999999999994,225.0,375.0,160.0,110.0,300.0,150.0,0
307.59999999999997,225.0,375.0,155.0,105.0,300.0,150.0,0
304.59999999999997,225.0,375.0,150.0,100.0,300.0,150.0,0
301.99999999999994,225.0,375.0,145.0,95.0,300.0,150.0,0
299.79999999999995,225.0,375.0,140.0,90.0,300.0,150.0,0
297.99999999999994,225.0,375.0,135.0,85.0,300.0,150.0,0
296.59999999999997,225.0,375.0,130.0,80.0,300.0,150.0,0
295.59999999999997,225.0,375.0,125.0,75.0,300.0,150.0,0
